timestamp,datetime,boomAngle,extensionMM,measuredLoad,actualLoad,swingAngle,ropeLength,fsr1,fsr2,fsr3,fsr4,imuRoll,imuPitch,safeLoadLimit,loadPercent,alarmLevel
1789652232.852657,2026-09-17T19:07:12.852657,-25.5,19.3,566762.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.8715067,2026-09-17T19:07:12.871507,-25.5,19.3,566762.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.8886502,2026-09-17T19:07:12.888650,-25.5,19.3,566762.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.9091363,2026-09-17T19:07:12.909136,-25.5,19.3,566762.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.929966,2026-09-17T19:07:12.929966,-25.5,19.3,566762.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.9508016,2026-09-17T19:07:12.950802,-25.5,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.5,-7.92,5.0,0.0,0
1789652232.969711,2026-09-17T19:07:12.969711,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.92,5.0,0.0,0
1789652232.9858747,2026-09-17T19:07:12.985875,-25.5,19.3,566795.0,0.0,95.71,4.6,0,0,0,0,-25.5,-7.93,5.0,0.0,0
1789652233.010494,2026-09-17T19:07:13.010494,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.0288043,2026-09-17T19:07:13.028804,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.0438402,2026-09-17T19:07:13.043840,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.0608037,2026-09-17T19:07:13.060804,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.090865,2026-09-17T19:07:13.090865,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.106516,2026-09-17T19:07:13.106516,-25.51,19.3,566795.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.93,5.0,0.0,0
1789652233.122146,2026-09-17T19:07:13.122146,-25.51,19.3,566744.0,0.0,95.71,4.6,0,0,0,0,-25.51,-7.92,5.0,0.0,0
1789652233.1510587,2026-09-17T19:07:13.151059,-25.51,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.51,-7.92,5.0,0.0,0
1789652233.1673944,2026-09-17T19:07:13.167394,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.1889513,2026-09-17T19:07:13.188951,-25.52,19.3,566744.0,0.0,95.71,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.2095902,2026-09-17T19:07:13.209590,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.2304063,2026-09-17T19:07:13.230406,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.2513163,2026-09-17T19:07:13.251316,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.2712762,2026-09-17T19:07:13.271276,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.2910898,2026-09-17T19:07:13.291090,-25.52,19.3,566744.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.306856,2026-09-17T19:07:13.306856,-25.52,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.52,-7.92,5.0,0.0,0
1789652233.3309913,2026-09-17T19:07:13.330991,-25.53,19.3,566773.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.92,5.0,0.0,0
1789652233.3510406,2026-09-17T19:07:13.351041,-25.53,19.3,566773.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.3710964,2026-09-17T19:07:13.371096,-25.53,19.3,566773.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.391323,2026-09-17T19:07:13.391323,-25.53,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.4111192,2026-09-17T19:07:13.411119,-25.53,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.4310584,2026-09-17T19:07:13.431058,-25.53,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.4508827,2026-09-17T19:07:13.450883,-25.53,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.4717045,2026-09-17T19:07:13.471704,-25.53,19.3,566773.0,0.0,95.71,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.4875636,2026-09-17T19:07:13.487564,-25.53,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.5110059,2026-09-17T19:07:13.511006,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.5312295,2026-09-17T19:07:13.531229,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.5483253,2026-09-17T19:07:13.548325,-25.53,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.5709267,2026-09-17T19:07:13.570927,-25.53,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.94,5.0,0.0,0
1789652233.5908067,2026-09-17T19:07:13.590807,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.94,5.0,0.0,0
1789652233.6105459,2026-09-17T19:07:13.610546,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.94,5.0,0.0,0
1789652233.6303542,2026-09-17T19:07:13.630354,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.94,5.0,0.0,0
1789652233.65128,2026-09-17T19:07:13.651280,-25.52,19.3,566789.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.94,5.0,0.0,0
1789652233.6712456,2026-09-17T19:07:13.671246,-25.53,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.94,5.0,0.0,0
1789652233.6907086,2026-09-17T19:07:13.690709,-25.52,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.94,5.0,0.0,0
1789652233.710481,2026-09-17T19:07:13.710481,-25.53,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.7306848,2026-09-17T19:07:13.730685,-25.53,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.751187,2026-09-17T19:07:13.751187,-25.53,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.7620385,2026-09-17T19:07:13.762038,-25.52,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.7771049,2026-09-17T19:07:13.777105,-25.52,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.8095355,2026-09-17T19:07:13.809536,-25.52,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.8241742,2026-09-17T19:07:13.824174,-25.52,19.3,566735.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.8514345,2026-09-17T19:07:13.851434,-25.52,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.8710544,2026-09-17T19:07:13.871054,-25.52,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.93,5.0,0.0,0
1789652233.8903472,2026-09-17T19:07:13.890347,-25.52,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.52,-7.92,5.0,0.0,0
1789652233.9102645,2026-09-17T19:07:13.910264,-25.53,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.92,5.0,0.0,0
1789652233.9256897,2026-09-17T19:07:13.925690,-25.53,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.93,5.0,0.0,0
1789652233.9507363,2026-09-17T19:07:13.950736,-25.53,19.3,566739.0,0.0,95.8,4.6,0,0,0,0,-25.53,-7.92,5.0,0.0,0
